model_response,skill,ground_truth,reasoning_ground_truth,image
The correct answer is: D,['numerical'],D, The correct answer is D. Step 1:  Cacluate the value of Balcom plc's share of the textile industry in 2022: Balcom plc 2022 = 25% × $2m = $500k Step 2:  Cacluate the value of Tade Ltd's share of the textile industry in 2022: Tade ltd 2022 = 13% × $2m = $260k  Step 3:  Add the two values together:     Total = $760k ,./images/v1_212.png
B,['numerical'],B, The correct answer is B. Step 1:  Calculate the value of Royer inc's share of the textile industry in 2021: 2021 = 26% × $1.45m = $377k Step 2:  Calculate the value of Royer inc's share of the textile industry in 2022: 2022 = 20% × $2m = $400k  Step 3:  Subtract the 2022 value from the 2021 value: $400k-$377k = $23k Step 4:  Divide the difference by the 2021 value: $23k / $377k x 100 = 6.1%   Tip:  To calculate percentage increase quickly:  Subtract the newest figure from the oldest and divide by the oldest.  ,./images/v1_213.png
A,['numerical'],A, The correct answer is A. Step 1:  Calculate the total snowfall in Val Thorens accross the 4 months. 5cm + 20cm + 40cm + 35cm = 100cm  Step 2:  Divide the January value by the total and multiple by 100 to calculate the amount as a percentage.  5cm / 100cm x 100 = 5% ,./images/v1_214.png
The correct answer is: C,['numerical'],C, The correct answer is C. Step 1:  Identify how much snow fell in Whistler in November and December:  Nov = 20cm  Dec = 30cm     Step 2:  Calculate the difference between the two amounts: 30cm -20cm = 10cm  Step 3:  Divide the difference by the November figure 'the old figure' and multiply by 100. 10cm / 20cm x 100 = 50%  Tip:  To calculate percentage increase quickly:  Subtract the newest figure from the oldest figure and divide by the oldest. ,./images/v1_215.png
The correct answer is: C,['numerical'],C, The correct answer is C. Step 1:  Calculate a 20% increase in the December snowfall in Val Thorens and Whistler: (30cm + 35cm) × 1.2 = 78cm  Step 2:  Calculate a 15% decrease in the December snowfall in Tignes and Les Arc: (20cm + 30cm) × 0.85 = 42.5cm    Step 3:  Add the two values together:  Total = 120.5cm ,./images/v1_216.png
The correct answer is: C,['numerical'],C, The correct answer is C. Step 1:  Calcuate how much snow fell in January in Whistler and Les Arc: Jan = 10cm + 10cm = 20cm Step 2:  Calcuate how much snow fell in February in Whistler and Les Arc: Feb = 20cm + 20cm = 40cm  Step 3:  Add the two figures together:   Total = 60cm ,./images/v1_217.png
C,['deductive'],C," The correct answer is C. The premises can be displayed as follows:     Premise1: No B are A      Premise 2: All A are C    Where:     A = musicians      B = scholars      C = music enthusiasts  If you write down all the possible answers in the same way, you can see that the only logical conclusion between the answers is:Some C are not B        So the answer is: Some music enthusiasts are not scholars ",./images/v1_218.png
A,['deductive'],D," The correct answer is D. The premises can be displayed as follows:     Premise1: All B are A    Premise 2: Some C are not A  Where:      A = dogs with long hairs    B = sweet dogs   C = pittbulls   If you write down all possible answers in the same way, you can see that none of the answers are correct. ",./images/v1_219.png
D,['deductive'],D, The correct answer is D. ,./images/v1_220.png
A,['deductive'],C," The correct answer is C.  The premises can be displayed as follows: Premise1: No A are B Premise 2: All A are C  Where: A = taxes  B = incomes  C = expences  If you write down all the possible answers in the same way, you can see that the only logical conclusion between the answers is:Some C are not B   So the answer is: Some expences are not incomes    ",./images/v1_221.png
B,['deductive'],B, The correct answer is B.   ,./images/v1_222.png
B,['deductive'],B," The correct answer is B.  The premises can be displayed as follows: Premise1: All B are A   Premise 2: No C are A  Where:  A = pies  B = cakes  C = pastries  If you write down all possible answers in the same way, you can see that none of the answers are correct. ",./images/v1_223.png
A,['deductive'],D, The correct answer is D. ,./images/v1_224.png
B,['deductive'],B," The correct answer is B. The premises can be displayed as follows:  Premise1: No A are B  Premise 2: All A are C  Where: A = kalowites  B = kilowites  C = koliwites  If you write down all the possible answers in the same way, you can see that the only logical conclusion between the answers is:Some C are not B  So the answer is: Some koliwites are not kilowites",./images/v1_225.png
D,['deductive'],D, The correct answer is D. ,./images/v1_226.png
A,['deductive'],D, The correct answer is D. ,./images/v1_227.png
D,['deductive'],D, The correct answer is D. ,./images/v1_228.png
D,['deductive'],D, The correct answer is D. ,./images/v1_229.png
A,['deductive'],D, The correct answer is D. ,./images/v1_230.png
C,['deductive'],C, The correct answer is C. ,./images/v1_231.png
A,['deductive'],C, The correct answer is C. ,./images/v1_232.png
D,['deductive'],D, The correct answer is D. ,./images/v1_233.png
B,['deductive'],B, The correct answer is B. ,./images/v1_234.png
B,['deductive'],B, The correct answer is B. ,./images/v1_235.png
A,['deductive'],A, The correct answer is A. ,./images/v1_236.png
C,['deductive'],C, The correct answer is C. ,./images/v1_237.png
A,['deductive'],D, The correct answer is D. ,./images/v1_238.png
C,['deductive'],C, The correct answer is C. ,./images/v1_239.png
D,['deductive'],D, The correct answer is D. ,./images/v1_240.png
A,['deductive'],D, The correct answer is D. ,./images/v1_241.png
D,['deductive'],D, The correct answer is D. ,./images/v1_242.png
A,['deductive'],A, The correct answer is A. ,./images/v1_243.png
C,['deductive'],C," The correct answer is C. Given what we have learned, it is reasonable to assume that Mark is the culprit. The facts about Maggie and Susan might help in forming a deductive argument, however, in this context they are inconsequential. Mark’s pattern of behaviour suggests he is guilty.",./images/v1_244.png
A,['deductive'],A, The correct answer is A. Inductive reasoning tests are challenging you to acknowledge a pattern in given data and form reasonable assumptions. A is the only statement that discusses probability. Whilst all of the statements might be true the question is asking you to determine the best example of an inductive argument..,./images/v1_245.png
C,['deductive'],C," The correct answer is C. The only thing we can interpret from the pattern presented to us is that the rooms are all named after colours, it is therefore fair to assume that the rest of the rooms will also be named after colours as well.",./images/v1_246.png
The correct answer is: C,['numerical'],C, The correct answer is C. Step 1:  Divide the number of flights cancelled in Gatwick by the total number of cancelled flights accross the 3 airports in February:  20 / (15+20+45) x 100      = 25%,./images/v1_247.png
The correct answer is: B,['numerical'],B, The correct answer is B. Step 1:  Calculate the number of flights cancelled in November and December: Nov + Dec = 15 + 10 = 25  Step 2: Calculate the number of flights cancelled in January and February: Jan + Feb = 35 + 45 = 80   Step 3: Subtract the Jan / Feb figure from the Nov / Dec figure and divide by the Nov / Dec figure: (80 - 25) ÷ 25 x 100 = 220%,./images/v1_248.png
A,['numerical'],A, The correct answer is A. Step 1:  The question asks for ratio of the flights cancelled at Gatwick airport vs the other airports combined.  Start by writing the down in a ratio format:  20 : (30 + 20 + 15)    20 : 65     Step 2:  Divide 65 by 20 to calcuate the ratio:   65 ÷ 20 = 3.25     1 : 3.25,./images/v1_249.png
A,['numerical'],A, The correct answer is A. Step 1:  Take the number of flights cancelled in January and calculate an 80% reduction:  30 × (1-0.8) = 6  Step 2:  Subtract this figure from the March figure: 10 - 6 = 4,./images/v1_250.png
The correct answer is: D,['numerical'],D," The correct answer is D. Step 1 – Calculate the time taken for each of the coach journeys that serves breakfast. Departures: 06:30 and 08:00 take 3 hrs 15 mins; 09:10 and 09:30 departures take 3 hours 20 mins; 10:00 departure takes 3 hours 5 mins  Step 2 – Calculate the total cost for two return tickets   10:00 departure; 2 x 85  Thus the correct answer is, 170",./images/v1_251.png
A,['numerical'],A," The correct answer is A. Step 1 – Work backwards from the taxi journey    Agent must leave Manchester’s coach/train station by coach/train  Step 2 – Which coach/train travel option(s) arrives before 12:25/12:35 respectively?   The 09:10 and 09:30 coach departures both arrive too late     The 09:20 train departure arrives in time at 11:50 and is cheaper than the 9.00 train   Thus the correct answer is, 09:20 train departure",./images/v1_252.png
B,['numerical'],B," The correct answer is B. Step 1 – Calculate the Time taken for the 2 train journeys between London and Manchester: 07:50 train: 2 hours 15 mins = 2.250 hours  10:30 train: 2 hours 25 mins = 2.417 hours  Step 2 – put figures into the formula: Average speed = Distance / Time taken Average speed = 164 miles / Time taken = miles per hour  07:50 train: 164 miles / 2.250 = 72.9 mph  10:30 train: 164 miles / 2.417 = 67.9 mph     Difference between the two = 72.9 - 67.9 = 5mph      Thus the correct answer is, 5 mph",./images/v1_253.png
A,['numerical'],A," The correct answer is A. Step 1 – Calculate the journey times for the train departures with wireless (marked with a * in the timetable)      07:50: 2 hours 15 mins  09:00: 2 hours 25 mins     10:05: 2 hours 40 mins   Step 2 - Calculate the journey times for the coach departures that arrive in Manchester before 13:00  06:30: 3 hours 15 mins 08:00: 3 hours 15 mins  09:10: 3 hours 20 mins 09:30: 3 hours 20 mins   Step 3     Single ticket on 07:50 train = 65.00      Thus the correct answer is, 65.00",./images/v1_254.png
A,['numerical'],A," The correct answer is A. Step 1:  Get the revenue generated from the sale of binder in the quarter Oct - Dec: 35,000  Step 2:  This revenue figure is overstated by 15%.  It is, therefore, 115%.  The question asks for 100%.  Simply divide by 115 and multiply by 100: 35,000 ÷ 115 x 100 = 30,435  Tip:  If a number is overstated by X percent simply add this to 100% and then divide by 100% to calculate the original non overstated figure.",./images/v1_255.png
A,['numerical'],A," The correct answer is A. Step 1:  Get Graff's revenue in the first quarter of the year: 15,000   Step 2:  Get Graff's revenue in the fourth quarter of the year: 30,000  Step 3:  Subtract the most recent quarter from the oldest:  30,000 - 15,000 = 15,000     Step 4:  Divide this by the first quarter figure, the 'oldest' figure.   15,000 / 15,000 x 100  = 100%  ",./images/v1_256.png
The correct answer is: C,['numerical'],C," The correct answer is C. Step 1:  Get Moen's revenue from Jan - Jun: 30,000 + 25,000  Step 2:  Divide this by 6 months: 55,000 / 6 months = 9,167 ",./images/v1_257.png
The correct answer is: D,['numerical'],D," The correct answer is D. Step 1:  Get Graff's revenue in Q2: 20,000  Step 2:  Get Graff's revenue in Q4: 30,000 Step 3:  Subtract the Q4 figure from the Q2 figure and divide by the Q2 figure:  30,000 - 20,000 = 10,000  10,000 / 20,000 x 100  = 50% ",./images/v1_258.png
A,['numerical'],A, The correct answer is A. Step 1: Calculate the annual Gem plan cost:54.99 annual fee  5.49 per month for the plan  50 extra same network minutes required: 50 x 25p = 12.50   0 extra other network minutes required  ​Total monthly cost: 5.49 + 12.50 = 17.99     ​Total annual cost: 54.99 + (17.99 x 12) = 270.88     Step 2: Calculate the annual Royal plan cost:     59.49 annual fee 6 for the plan     0 extra same network minutes required     50 extra other network minutes required: 50 x 32p = 16    ​Total monthly cost: 6 + 16 = 22     ​Total annual cost: 59.49 + (22 x 12) = 323.49  Step 3: Calculate the saving: 323.49 - 270.88 = 52.61 ,./images/v1_259.png
A,['numerical'],A," The correct answer is A.  Step 1 – Sum the Gem Plan’s allocation for 5 months    250 mins x 5 = 1,250 mins  200 texts x 5 = 1,000 texts   Step 2 – Sum the Royale Plan’s allocation for 4 months   300 mins x 4 = 1,200 mins    150 texts x 4 = 600 texts   Step 3 – Sum Steps 1 and 2   1,250 mins + 1,200 mins = 2,450 mins   1000 texts + 600 texts = 1,600 texts   Thus the correct answer is, 2,450 mins; 1,600 texts",./images/v1_260.png
A,['numerical'],A," The correct answer is A.  Step 1 – Update the costs  Standard calls: 24p x 1.2 = 28.8p  Mobile calls (same network): 26p x 1.2 = 31.2p   Mobile calls (other networks): 32p x 1.2 = 38.4p   Texts: 11p x 1.2 = 13.2p   Step 2 - Calculate the new costs      Mobile calls (same network): 31.2p x 35 = 10.92  Mobile calls (other networks): 38.4p x 45 = 17.28  Texts: 13.2p x 62 = 8.18     Step 3 – Sum the above 10.92 + 17.28 + 8.18 = 36.38   Thus the correct answer is, 36.38",./images/v1_261.png
C,['numerical'],C," The correct answer is C.  Step 1 – Calculate the number of monthly minutes outside allocation   3,120 mins - 300 = 2,820 mins chargeable  Step 2 – Multiply by 3 months  2,820 mins x 3 = 8,460 mins   Step 3 – Calculate excess charge per call  30p – 24p = 6p  Step 5 - Multiply by 6p excess per call rate  8,460 mins x 6p = 507.60   Thus the correct answer is, 507.60",./images/v1_262.png
A,['numerical'],A," The correct answer is A.  15,000 × $78 = $1,170,000",./images/v1_263.png
D,['numerical'],D," The correct answer is D.  18,000 × (1-0.22) = 14,040     14040 × $82 = $1,151,280",./images/v1_264.png
B,['numerical'],B," The correct answer is B.  April 18,000 × $76 = $1,368,000      May 13,000 × $89 = $1,157,000      $1,368,000 - $1,157,000 = $211,000     211,000 / 1,368,000 x 100 = 15.42%",./images/v1_265.png
B,['numerical'],B, The correct answer is B.  (82 + 77 + 82) / 3 = $80.33,./images/v1_266.png
B,['inductive'],B,"The correct answer is B. Circle dot moves around circle segments in an anti-clockwise direction with each turn. Rectangle, maintains same position in top right segment with each alternate turn.",./images/v1_267.png
A,['inductive'],A,The correct answer is A. Please note: dots are in no particular order within the frames. It is merely the number of dots that are important for the sequence. Dots decrease by one with each turn. Triangle moves from top right corner to top left corner with each turn.,./images/v1_268.png
A,['inductive'],A,The correct answer is A. Unshaded three-quarter circle rotates by 45 degrees with each alternate turn. Shaded circle decreases in size with each turn (i.e.: from large to small).,./images/v1_269.png
The correct answer is: C,['inductive'],C,The correct answer is C. 1. Same shape decreases in size for two frames with each turn. 2. Shape appearing in every third frame is shaded with each turn.,./images/v1_270.png
The correct answer is: E,['inductive'],E,The correct answer is E. Triangle changes from large (unshaded) to small (shaded) with each turn. Diagonal corner line moves from the right of the frame to the left of the frame with each turn.,./images/v1_271.png
The correct answer is: C,['inductive'],C,"The correct answer is C. Please note: dots have no order within the frames. It is merely the number and shading of dots that are important for this sequence. Shaded dots change from two to one with each turn. Unshaded dots change from one to two with each turn. Rectangle moves from bottom left to right, to top left to right with each turn.",./images/v1_272.png
The correct answer is: E,['inductive'],E,"The correct answer is E. 1. Centre square is shaded for one frame, then unshaded for two frames with each turn. 2. Dot moves around centre square in a clockwise direction with each alternate turn. 3. Corner rectangle moves in a clockwise direction with each turn.",./images/v1_273.png
A,['inductive'],A,"The correct answer is A. Square alternates from both segments, to bottom segment, then to top segment with each turn. Unshaded rectangle remains in the top segment and moves from the top to the bottom with each turn. Shaded rectangle remains in the bottom segment and moves from the bottom to the middle with each turn.",./images/v1_274.png
B,['inductive'],B,"The correct answer is B. Square moves from bottom left corner, to the middle line, to the top right corner, to the middle line, with each turn. Triangle moves in a clockwise direction around the frame with each alternate turn. Arrow changes direction from up (always in left segment) to down (always on right segment) with each turn.",./images/v1_275.png
The correct answer is: E,['inductive'],E,"The correct answer is E. 1. Diagonal line in two consecutive frames and then is omitted for one frame with each turn (i.e.: diagonal line is in frame 1 and 2, then omitted in in frame 3). 2. Vertical line in two consecutive frames and then is omitted for one frame with each turn. 3. Dot appears on every diagonal line.",./images/v1_276.png
B,['inductive'],B,The correct answer is B. Shape decrease by one side with each alternate turn. Unshaded rectangle moves from the top to the bottom of the frame with each alternate turn. Dot moves from the top left corner to the top right corner with each turn.,./images/v1_277.png
D,['inductive'],D,"The correct answer is D. Square changes from unshaded to shaded with each turn. Rectangle moves around frame in a clockwise direction, in the inverse with each turn. Triangle appears in every third frame with each turn.",./images/v1_278.png
B,['inductive'],B,"The correct answer is B. Dot moves around hexagon in a clockwise direction with each turn. Horizontal line appears with each alternate frame with each turn. Arrow changes direction (from pointing up, to pointing down) with every alternate frame.",./images/v1_279.png
A,['inductive'],A,"The correct answer is A. Square moves around frame in an anti-clockwise direction with each turn. Rectangle is shaded for one frame, and unshaded for two frames with each turn. Oval appears at the top of the rectangle in every third frame with each turn.",./images/v1_280.png
B,['inductive'],B,"The correct answer is B. Shape in oval remains for two frames with each turn. Triangle accompanies square shape and appears in the same position (bottom left corner) whenever a square is in the middle oval. Rectangle changes from being shaded to unshaded with each alternate turn, maintains the same position (left of oval).",./images/v1_281.png
C,['inductive'],C,"The correct answer is C. Dot moves within the quadrants in a clockwise direction with each turn. Square remains in the top right quadrant for two frames and then moves into the bottom right quadrant for one frame with each turn. Triangle appears on every alternate turn, alternating from the top left quadrant to the bottom left quadrant with each turn.",./images/v1_282.png
D,['inductive'],D,The correct answer is D. Please note: dots are in no particular order with each frame. It is merely the number of dots that are important for this sequence. Diagonal line changes direction with each turn. Central shape increases by one side with each alternate turn. Consider odd and even frames separately. Shaded dots decrease by one for every odd frame and increase by one for every even frame..,./images/v1_283.png
C,['inductive'],C,"The correct answer is C. Shapes change from diamond, to triangle, to pentagon with each turn. The triangle informs the increase in one shaded square on the next turn. Diamond informs the diagonal corner line to increase by one on the next turn.",./images/v1_284.png
B,['inductive'],B,"The correct answer is B. Circle alternates from unshaded to shaded with every turn. Consider odd frames separately to even frames. Odd frames triangles increase by one, squares decrease by one with each turn. Consider odd frames separately to even frames. Even frames triangles decrease by one, squares increase by one with each turn.",./images/v1_285.png
The correct answer is: D,['inductive'],D,"The correct answer is D. Diagonal lines, when doubled, account for the number of sides centre shape had. Rectangles shading inverts on every third frame with each turn. Triangle rotates by 90 degrees with each turn.",./images/v1_286.png
A,['deductive'],A,"Here are the necessary calculations, which require some algebra: Barbox, which can be written as B, Fruitbar = F, Oatbar = O = 1.75  A barbox is twice as expensive as 3 Fruitbars, hence, the following formula can be created:  B = 2 x (3F), which can be simplified to; B = 6F A second formula can be created as a Barbox combines two of each type of bar and is 0.50 cheaper than buying them individually:    B = 2F + 2O = 0.50   As B is equivalent to either equation, the two equations can be combined together to eliminate the algebraic variable; B. These are called simultaneous equations and are encountered at GCSE Maths.  6F = 2F + 2O - 0.50    Via a simple rearrangement and simplification of the equation we arrive at:  6F - 2F = 2O - 0.50  4F = 2O - 0.50  We know that an Oatbar is 1.75, hence two Oatbars (2O = 2 x 1.75) cost 3.50.  Therefore, following more rearrangements and simplifications;  4F = 3.50 - 0.50  4F = 3.00 F = 3.00/4  F = 0.75.",./images/v1_287.png
B,['deductive'],B," We do not need to know the price of either FruitBar or BarBox to know that this is false. Given that BarBoxes are twice as expensive as 3 FruitBars, or in other words, 6 FruitBars, they will cost more than 5 FruitBars. As such, this statement is false",./images/v1_288.png
A,['deductive'],A," We have not been given the sales figures. However, we are given the relationships between the bars sold: Barbox combines two of each (2 x Oatbars + 2 x Fruitbars). Half of Oatbar sales are sold through Barboxes.  If 2 are sold each time as part of the Barbox, and this represents half of the sales of Oatbars, then 4 oatbars are sold each time a Barbox purchase is made.     Hence, 4 times as many Oatbars are sold as Barboxes themselves (including the ones sold through the Barbox), or twice as many oatbars are sold, excluding the ones sold through Barboxes. In either case more Oatbars are sold than Barboxes. Barboxes have sold less than OatBars.     Thus, the answer to the question is True, also considering that sold implies that sales have been made, so, the sales figure must be greater than 0 and follow the relationships described above.",./images/v1_289.png
B,['deductive'],B," BarBoxes contain 2 FruitBars and 2 OatBars. If, for example, we sold 10 BarBoxes, we would have sold 20 FruitBars and 20 OatBars. Half of OatBars are sold through BarBoxes, meaning that in this example total of 40 would have been sold. FruitBars sell twice as often as OatBars, thereby selling 80. 80 is 8 times that 10 (BarBoxes). Therefore, this statement is false.",./images/v1_290.png
C,['deductive'],C," Charles’ children will use at least 4 devices. Therefore, the plan cannot have less than 4 devices. It also can only be 12 months. Only Hare and Dog fit this profile. And the one that is cheapest is Dog. Therefore, Dog is the correct answer.",./images/v1_291.png
B,['deductive'],B," With 5 employees with one device, it the contract must be suitable for have more than 35 devices. This leaves tThe only potential plans possible left asre: Hare, Wader and Owl. Dog is not presented as an option. Then we look for the cheapest, which is Owl at 26.50 a month, and therefore also the lowest yearly price based on the information we have been given.",./images/v1_292.png
C,['deductive'],C,"We are told that Frederick agreed with the first journal, which was written by Jean-Paul. Frederick disagreed with the third, written by Albert. While we are not given a journal number written by Roger, we can work out that it is journal number seven. However, we are not told whether Frederick disagreed with journal seven or not. Therefore, the answer is Insufficient information.",./images/v1_293.png
B,['deductive'],B,"There is no direct mention of Simone writing any of the journals. We can try to determine if she wrote the seventh by looking at the other clauses. We are told Jean-Paul wrote the first, second and sixth journal. And we are told Albert wrote the middle three, in other words, three, four and five.     The only remaining journal, the seventh, must have been written by Roger because the last line states he has one of his own. Therefore, the statement is false as Simone did not write the seventh journal.",./images/v1_294.png
A,['deductive'],A,"Jean-Paul wrote the first, second and sixth.  Albert the middle three, in other words, three, four and five. And thus, Roger wrote the seven. Therefore, Simone and Frederick both wrote zero of the journals. This means that they did indeed write the same number of journals, namely, none. Therefore, this is true.",./images/v1_295.png
C,['deductive'],C,"Simon disagreed with the last three journals. Given that Albert wrote the middle three, the fifth is Albert, therefore Simone disagreed with Albert. Jean-Paul wrote the sixth, Therefore Simone disagreed with Jean-Paul. And Roger wrote the seventh therefore Simone disagreed with Roger. However, there is still no indication that Frederick disagreed with the fifth journal or not. Therefore, there is insufficient information.",./images/v1_296.png
C,['deductive'],C,"Line 2 states that the agreement was for parliament decreed not the soverign. While the sovereign, William III, agreed to the parliamentary decreed, the power of the law in this case is in parliament and as the line states that is where the decree lies. The answer is not a, because there is no mention of William II and the national debt, so we cannot demonstrably say this is false, not can we say it is true. Proof would be needed to determine either way.",./images/v1_297.png
E,['deductive'],E,"Line 2 states the syndicate investment would be returned, not paid by investors. That the agreement was for parliaments decreed not the sovereign. While the sovereign, William III, agreed to the parliamentary decreed, the power of the law in this case is in parliament and as the line states that is where the decree lies.",./images/v1_298.png
A,['deductive'],A,"Since 1m² of Wood costs £90, then 5m² will cost 5 times this = £450. However, for every Wood used, 50% of its size in Metal must also be used. As such, 2.5m² of Metal must be used, which is 4 times as expensive as Wood.  Therefore, we must also add 2.5 * 4 * 90 = £900. Then we must add both of our prices together to get the overall cost = £1,350. Therefore, this statement is true.",./images/v1_299.png
A,['deductive'],A,"Line 3 states that ‘for every 1m² of Glass used, 2m² of Brick and Wood are used. However, for every Wood used, 50% of Metal must also be used = 10m². Therefore, as a minimum we do require 20m² of Brick and 10m² alongside the 10m² of Glass used.",./images/v1_300.png
C,['deductive'],C,"There is no clause that allows us to make this calculation. Brick is not linked with Wood buying, and since we do not know how much Brick will be used, we cannot say. Therefore, there is insufficient information.",./images/v1_301.png
B,['deductive'],B,"First calculate the quantities needed of the materials. The first is easy as we are told in the question how much glass is required. From this, the amount of brick and wood needed can be calculated along with information contained in the third statement. Double the area of glass is needed in brick and wood each. Glass = = 4m²    Brick = (4 * 2) = 8m²     Wood = (4 * 2) = 8m²     Metal = (8 * 0.5) = 4m²      Now, that the required quantities of materials have been obtained we can work out their pricing per square metre. Brick, as stated in the question is £100/m², whereas wood is £90/m², and metal is 4 times as expensive as wood (£90/m² * 4) = £360/m². Lastly, glass is 6 times more expensive than metal (£360/m² * 6) = £2,160/m².   Brick = 8m² * £100/m² = £800      Wood = 8m² * £90/m² = £720      Metal = 4m² * £360/m² = £1,440      Multiply the prices for the materials by the quantities needed to obtain a price for each material for the house being built. Lastly, sum these prices to compare with the figure of £11,000.   £8,640 + £800 + £720 + £1,440 = £11,600.  Therefore, the answer is false as the house with 4m² of glass does not cost less than £11,000.",./images/v1_302.png
E,['deductive'],E,"Only two possible contracts have an annual salary where one is half of the other. These are Delta, (60,000 over 12 months) and Echo (80,000) over 18 months, so 80,000 x 1.5 = 120,000). Since Echo is the contract which earns twice as much as Delta, this is the one Lucy has.",./images/v1_303.png
D,['deductive'],D,"The key to working out this calculation is the contract length. Foxtrot is for 24 months, which means that Debra will get paid the Foxtrot annual salary twice. Therefore, she’ll earn £200,000 at the end of the contract. The Beta contract on the other hand is half a year. Therefore, Lucas will earn £10,000 at the end of his contract. We subtract 10,000 from 200,000 to get the difference= 190,000.",./images/v1_304.png
A,['deductive'],A,"True - Line 5 states that Things-in-themselves exist without projection from the Self. Line 2 states that Objects exist as Things-in-themselves. Therefore, Objects exist without projection from the Self. Thus, the answer is true.",./images/v1_305.png
C,['deductive'],C,"The mirror is an object which exist as things-in-themselves. But things-in-themselves exist without a projection from the self. There is no mention that things-in-themselves project onto other objects or other things-in-themselves. Therefore, we cannot say whether things-in-themselves project onto mirror. Thus, it is insufficient information.",./images/v1_306.png
B,['deductive'],B,"The mirror is an object to which the self projects onto. However, objects exist as things-in-themselves which exist without the need for a projection from the Self. Therefore, this statement is false.",./images/v1_307.png
A,['deductive'],A,"Line 3 states the Self projects onto Objects. Line 4 states the mirror is an Object. Therefore, The Self projects onto the mirror. This is true.",./images/v1_308.png
A,['deductive'],A,">Since opportunity cost is the potential money lost, we have to work out what Andrea could make under different circumstances. Since Andrea is an accountant, she could produce £20 per hour for her work.     Likewise, she earns £2 more than £8 (£10) for her work as a secretary. Therefore, she could lose £10 per hour working as a secretary, in other words, NOT working as an accountant. The least we can assume is for Sophie to produce £0 an hour, which gives us an opportunity cost of £8 an hour, Therefore, it is true, Andrea’s opportunity cost is more than Sophie’s..",./images/v1_309.png
B,['deductive'],B," >The opportunity cost is the potential money lost, not the difference in produced money. Therefore, Andrea working as a secretary, rather than an accountant, will make her lose out on potential money. If Andrea worked to produce £10 an hour rather than her capacity for £20, in a 40-hour working week she would have lost a potential £400 (opportunity cost), not £80. Therefore, this statement is false.",./images/v1_310.png
C,['deductive'],C," >The calculation for the statement is made by multiplying Sophie’s £8 with the 46-hour working week = £368. Likewise, with Andrea’s £20 an hour = £920. Therefore, 920 – 368 = £552.  However, this assumes that Andrea is working as an accountant (which produces £20 an hour). There is no indication that this is what Andrea will be working for the entire 46-hour working week and as such our potential calculation values are incomplete and, thus, there is insufficient information.",./images/v1_311.png
C,['deductive'],C,">We are lacking the certainty of what a secretary produces. Sophie produces £8 an hour, but Andrea £10. Accountants produce £20 an hour. The passage doesn't tell us how much Secretaries make per hour. But we are told that Sophie makes £8 as a secretary, and Andrea £10 as a secretary. This doesn't mean all Secretaries make £10 an hour. Though we can say that all Accountants produce £20 an hour. With these figures, we could say that Accountants always produce twice the amount as Secretaries because whether it's £8 or £10, it's at least twice. HOWEVER, this is a false premise because the question statement refers to Secretaries, rather than, say Andrea or Sophie. Thus, we a lacking information into how much secretaries make. Therefore, the answer is insufficient information.",./images/v1_312.png
C,['deductive'],C,">First, we should calculate the number of miles per lock for both Lancaster and Trent combined. Number of locks: 6+6 = 12. Miles travelled is: 42 + 42 = 84.     Therefore, the number of locks per mile: 84 ÷ 12 = 7. And Gloriana thus passed under only 1 bridge for both Lancaster and Trent.  We subtract that for our mile figure, thus we get 6.",./images/v1_313.png
D,['deductive'],D," >By travelling across 2 canals, we must go under 4 bridges. There are only two canals that have 2 bridges each, thus totalling 4. These are Grand Union and Trent.",./images/v1_314.png
C,['deductive'],C,"The flags of Slavic countries have red, blue and white. Likewise, United Kingdom fits this description. But the clause does not stipulate that these colours mean that it is a Slavic country, simply that those countries bear those colours. Therefore, this is insufficient information. It is important to form your answer on the information provided in the passage.",./images/v1_315.png
B,['deductive'],B,">Line 6 states that the Slavic flag colours are red, blue and white. Line 5 states that the Norwegian flag bears the same colours of the United Kingdom, which line 2 states is red, blue and white. Therefore, they bear the same colours and as such the statement is false.",./images/v1_316.png
B,['deductive'],B,">The Norwegian flag bears the same colours as the United Kingdom’s flag, which is red, blue and white Which are also the same colours as the Slavic flags.     The United Kingdom’s flag bears the colours red, blue and white, however, we are not certain whether it belongs to the Slavic countries or not, from the information in the passage.      Line 1 states that the Iceland flag shares the same colours as the Slavic countries – red, blue and white.  Therefore, there are a possible three or two countries outside the Slavic bloc which are known to have the colours red, blue and white.  We do not know what the colours of Denmark, Sweden and Finland are, but it does not matter because the statement is already false regardless.",./images/v1_317.png
C,['deductive'],C,">The United Kingdom's flag bears the colours red, blue and white. The Norwegian flag bears the same colours. Line 1 states that the Iceland flag shares the same colours as the Slavic countries – red, blue and white. Therefore, two Nordic flags do have the same colours as the Slavic countries. However, we do not know what the colour scheme of Finland, Sweden and Denmark are. As such, we cannot complete this assessment and, therefore, this is insufficient information.",./images/v1_318.png
A,['deductive'],A,"The other statements can be found to be true. However, line 3 states that under ‘fair use’ one can use a copyrighted work for criticism. And is not illegal. Therefore, this statement is false.",./images/v1_319.png
E,['deductive'],E,"Line 3 states that parody is part of fair use, which is a limitation to copyright.",./images/v1_320.png
B,['deductive'],B,"Line 1 states that the sofa is twice the size of the chair, and line 6 that the sofa is twice the size of the dining table. Therefore, the dining table is four times bigger than the chair, not eight and thus this statement is false.",./images/v1_321.png
